Architecture,Scenario,Scale,RunNumber,Timestamp,EndToEndMs,ServerCpuMs,ServerElapsedMs,CpuPercent,MemoryMb,MemSqlServerMb,LogicalReads,PhysicalReads,RowsReturned,InsertedId,ConcurrentWorkers,ThroughputRequestsPerSec,ErrorCount,RowsCopied,IngestionRowsPerSecond,IsWarmup,ErrorMessage
ETL,T1_GetSNList,Small,0,03/11/2026 23:30:41,12.7702,6.368,9.975,22.266937255859375,5.377105712890625,829.15625,8,0,1000,,,,,,,True,
ETL,T1_GetSNList,Small,1,03/11/2026 23:30:41,11.3812,8.426,12.355,2.3204331398010254,5.49395751953125,829.15625,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,2,03/11/2026 23:30:41,7.9419,10.785,13.226,23.24245834350586,5.673713684082031,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,3,03/11/2026 23:30:41,7.0242,9.745,10.409,0,5.7905426025390625,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,4,03/11/2026 23:30:41,7.439,7.719,8.69,37.3425407409668,5.907646179199219,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,5,03/11/2026 23:30:41,7.2621,6.534,8.342,8.283896446228027,6.024375915527344,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,6,03/11/2026 23:30:41,6.1621,11.282,12.67,22.3643856048584,6.14166259765625,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,7,03/11/2026 23:30:42,5.9252,6.256,7.814,17.688400268554688,6.266380310058594,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,8,03/11/2026 23:30:42,11.3796,6.832,8.129,0,6.3836822509765625,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,9,03/11/2026 23:30:42,5.3972,5.249,6.295,38.496864318847656,6.572509765625,830.171875,8,0,1000,,,,,,,False,
ETL,T1_GetSNList,Small,10,03/11/2026 23:30:42,6.0761,5.251,6.461,3.8329501152038574,6.6895904541015625,830.171875,8,0,1000,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,0,03/11/2026 23:30:42,182.3905,5.099,5.1,29.272472381591797,6.719749450683594,830.171875,7,0,0,,,,,,,True,
ETL,T2_GetMesuresByPN,Small,1,03/11/2026 23:30:42,27.6875,6.576,6.579,3.722905158996582,6.758857727050781,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,2,03/11/2026 23:30:42,36.5544,5.011,5.012,10.1112642288208,6.797760009765625,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,3,03/11/2026 23:30:42,29.8132,4.144,4.147,8.969688415527344,6.836669921875,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,4,03/11/2026 23:30:42,27.4796,5.243,5.246,5.946238994598389,6.867866516113281,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,5,03/11/2026 23:30:42,28.7163,6.784,6.787,30.35737419128418,6.906585693359375,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,6,03/11/2026 23:30:42,27.0735,6.319,6.321,31.425601959228516,6.945549011230469,830.171875,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,7,03/11/2026 23:30:42,23.8186,5.674,5.675,0,6.9843902587890625,828.515625,7,0,0,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,8,03/11/2026 23:30:42,79.8758,59.736,59.743,43.4736442565918,7.022834777832031,828.515625,17805,0,25,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,9,03/11/2026 23:30:42,62.0333,27.297,27.301,0,7.0540313720703125,828.515625,7319,0,12,,,,,,,False,
ETL,T2_GetMesuresByPN,Small,10,03/11/2026 23:30:43,45.25,12.464,12.469,12.30362606048584,7.092796325683594,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,0,03/11/2026 23:30:43,154.9145,8.374,8.377,2.811836004257202,7.131462097167969,828.515625,7,0,0,,,,,,,True,
ETL,T3_GetMesuresHistorique,Small,1,03/11/2026 23:30:43,102.5808,19.869,19.874,9.004778861999512,7.177642822265625,828.515625,2101,0,24,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,2,03/11/2026 23:30:43,54.5328,5.894,5.896,20.81147575378418,7.2163543701171875,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,3,03/11/2026 23:30:43,79.1702,5.645,5.648,0,7.255523681640625,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,4,03/11/2026 23:30:43,100.5285,6.593,6.597,28.08255386352539,7.2944183349609375,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,5,03/11/2026 23:30:43,76.8165,8.355,8.358,0.25075992941856384,7.333305358886719,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,6,03/11/2026 23:30:43,87.1829,7.701,7.705,0.3675401508808136,7.372489929199219,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,7,03/11/2026 23:30:44,89.0049,7.419,7.423,9.239316940307617,7.411460876464844,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,8,03/11/2026 23:30:44,106.3263,17.655,17.658,34.22675704956055,7.458000183105469,828.515625,2091,0,24,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,9,03/11/2026 23:30:44,89.1985,7.913,7.917,0,7.497215270996094,828.515625,7,0,0,,,,,,,False,
ETL,T3_GetMesuresHistorique,Small,10,03/11/2026 23:30:44,88.4348,18.815,18.82,0.7556385397911072,7.543739318847656,828.515625,2095,0,25,,,,,,,False,
ETL,T4_InsertMesure,Small,0,03/11/2026 23:30:44,11.0621,3.863,3.977,12.11923885345459,7.578636169433594,828.515625,21,1,20001,,,,,,,True,
ETL,T4_InsertMesure,Small,1,03/11/2026 23:30:44,5.908,5.942,6.315,42.04069137573242,7.6255645751953125,828.515625,16,2,20002,,,,,,,False,
ETL,T4_InsertMesure,Small,2,03/11/2026 23:30:44,9.9484,3.965,4.09,0,7.664375305175781,828.515625,14,1,20003,,,,,,,False,
ETL,T4_InsertMesure,Small,3,03/11/2026 23:30:44,6.0262,6.556,6.673,2.118633985519409,7.695411682128906,828.515625,14,1,20004,,,,,,,False,
ETL,T4_InsertMesure,Small,4,03/11/2026 23:30:44,16.501,7.442,7.669,5.735119819641113,7.73443603515625,828.65625,14,1,20005,,,,,,,False,
ETL,T4_InsertMesure,Small,5,03/11/2026 23:30:44,24.6962,5.123,8.492,3.3683993816375732,7.773223876953125,828.65625,14,1,20006,,,,,,,False,
ETL,T4_InsertMesure,Small,6,03/11/2026 23:30:44,6.7504,4.785,4.903,11.146565437316895,7.811988830566406,828.65625,14,1,20007,,,,,,,False,
ETL,T4_InsertMesure,Small,7,03/11/2026 23:30:44,6.4677,4.726,4.839,9.09958553314209,7.85870361328125,828.65625,15,1,20008,,,,,,,False,
ETL,T4_InsertMesure,Small,8,03/11/2026 23:30:44,5.4466,6.078,6.08,12.620134353637695,7.889747619628906,828.65625,6,0,20009,,,,,,,False,
ETL,T4_InsertMesure,Small,9,03/11/2026 23:30:45,5.8905,6.079,6.083,0,7.928962707519531,828.65625,6,0,20010,,,,,,,False,
ETL,T4_InsertMesure,Small,10,03/11/2026 23:30:45,5.1855,5.953,5.954,33.63343048095703,7.966880798339844,828.65625,6,0,20011,,,,,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:45,86.9638,79.059,80.197,15.794035911560059,8.379806518554688,828.65625,22669,0,0,,10,114.99037530558694,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:45,69.9956,32.616,33.895,8.680699348449707,8.663406372070312,828.65625,7378,0,0,,10,142.86612301344655,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:45,91.2136,114.716,118.201,16.7187442779541,8.764503479003906,828.65625,35648,0,0,,10,109.63277406000859,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:45,119.8387,130.569,132.637,1.4804017543792725,8.8731689453125,828.65625,42968,0,0,,10,83.44549799021517,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:45,88.0021,157.298,157.319,3.879075527191162,8.974647521972656,828.65625,50955,0,0,,10,113.63365192421544,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:45,76.3551,33.783,33.794,19.02550506591797,9.083595275878906,829.7578125,7378,0,0,,10,130.96702119439306,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:45,136.5396,182.852,223.749,37.144596099853516,9.184494018554688,829.7578125,58269,0,0,,10,73.23882595232445,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:46,90.631,260.445,260.474,15.345027923583984,9.293594360351562,829.7578125,75874,0,0,,10,110.3375224812702,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:46,97.0194,135.977,136.205,0,9.402885437011719,829.7578125,40465,0,0,,10,103.07216907134037,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:46,94.0139,197.153,197.389,15.91914176940918,9.503944396972656,829.7578125,58273,0,0,,10,106.36724994920964,0,,,False,
ETL,T5_BurstSelect,Small,10,03/11/2026 23:30:46,99.539,206.166,206.193,14.6476469039917,9.612823486328125,829.7578125,60760,0,0,,10,100.46313505259245,0,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:46,118.2629,349.201,533.109,8.209193229675293,10.017547607421875,829.7578125,106085,0,0,,25,211.39342938487047,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:46,119.8008,233.94,235.328,19.027008056640625,10.523773193359375,834.3359375,70481,0,0,,25,208.6797417045629,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:46,173.3207,677.55,789.26,20.97723960876465,10.929008483886719,834.3359375,182269,0,0,,25,144.24128220114505,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:47,149.9541,617.758,664.892,17.987672805786133,11.297981262207031,834.3359375,171566,0,0,,25,166.71768227744354,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:47,145.2491,521.792,574.684,22.388633728027344,11.640235900878906,834.3359375,146498,0,0,,25,172.11810606743865,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:47,134.5857,387.379,394.996,27.931957244873047,11.850791931152344,834.3359375,108576,0,0,,25,185.7552473999838,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:47,159.5647,438.197,487.599,22.03862953186035,12.06903076171875,846.796875,127039,0,0,,25,156.6762573426328,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:47,159.8479,438.686,503.398,21.651676177978516,12.287147521972656,846.796875,136641,0,0,,25,156.39867649184006,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:48,121.4198,236.387,276.151,30.954484939575195,12.497734069824219,846.796875,69808,0,0,,25,205.89722598785372,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:48,129.5525,387.625,394.29,16.990585327148438,12.715682983398438,846.796875,111758,0,0,,25,192.97196117404144,0,,,False,
ETL,T5_BurstSelect,Small,10,03/11/2026 23:30:48,142.4899,235.542,279.928,26.215457916259766,12.926361083984375,846.796875,73651,0,0,,25,175.45103196787983,0,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:48,116.4543,673.228,818.804,32.09811782836914,13.473609924316406,846.796875,192038,0,0,,50,429.35297365576025,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:48,186.7193,767.148,848.387,20.690750122070312,14.114044189453125,849.6796875,205547,0,0,,50,267.7816379988571,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:48,178.7696,1000.76,1023.013,29.06545639038086,14.69329833984375,849.6796875,260729,0,0,,50,279.689611656568,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:49,195.04,686.447,694.851,61.21426773071289,15.241073608398438,849.6796875,183629,0,0,,50,256.35767022149304,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:49,189.8271,693.94,710.373,43.836368560791016,15.800727844238281,849.6796875,200051,0,0,,50,263.39758654059403,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:49,258.5122,946.16,1172.205,37.413591384887695,16.44495391845703,853.3515625,278372,0,0,,50,193.41446941382262,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:50,214.9518,1027.942,1300.14,22.905582427978516,16.96326446533203,853.3515625,262147,0,0,,50,232.61028751561977,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:50,264.7367,956.77,1380.033,45.5721549987793,17.529823303222656,853.3515625,267354,0,0,,50,188.8669005846186,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:50,280.5572,602.526,767.627,33.138641357421875,18.116897583007812,870.4375,165136,0,0,,50,178.21677718483076,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:50,229.4766,785.169,935.981,27.844272136688232,18.632774353027344,870.4375,220820,0,0,,50,217.88713969093143,0,,,False,
ETL,T5_BurstSelect,Small,10,03/11/2026 23:30:51,235.673,787.188,1011.644,26.37474489212036,19.160057067871094,870.4375,227652,0,0,,50,212.15837198151678,0,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:51,60.0611,240.029,241.487,22.502450942993164,19.253395080566406,870.4375,68064,0,0,,10,166.49711710241738,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:51,95.1349,111.968,117.165,16.293554306030273,19.36243438720703,870.4375,32474,0,0,,10,105.11389616218655,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:51,169.3135,239.228,332.095,18.81684684753418,19.464080810546875,871.421875,73562,0,0,,10,59.062035809312306,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:52,114.7003,148.431,154.63,13.193476676940918,19.573280334472656,871.421875,45276,0,0,,10,87.18373012101974,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:52,71.2618,58.154,58.171,18.519372940063477,19.674591064453125,871.421875,14680,0,0,,10,140.32763696679007,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:52,121.9398,172.656,172.845,10.080384254455566,19.783973693847656,871.421875,53456,0,0,,10,82.0076791990802,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:52,124.7006,164.191,164.407,13.498396873474121,19.885177612304688,871.421875,50949,0,0,,10,80.1920760605803,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:52,166.5815,234.513,320.106,18.161104202270508,19.994186401367188,871.421875,73572,0,0,,10,60.03067567527007,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:52,90.9497,62.625,66.268,42.54545593261719,20.087860107421875,869.6796875,17874,0,0,,10,109.95088493969745,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:52,97.6848,174.333,176.837,0,20.196685791015625,869.6796875,50274,0,0,,10,102.37007190473851,0,,,False,
ETL,T5_BurstSelect,Small,10,03/11/2026 23:30:53,118.9903,165.841,176.093,3.532658338546753,20.2977294921875,869.6796875,50280,0,0,,10,84.04046380251164,0,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:53,89.0275,818.93,880.835,14.069252014160156,20.718460083007812,869.6796875,183868,0,0,,50,561.6242172362472,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:53,250.5642,1012.096,1392.517,22.254729747772217,21.244895935058594,869.6796875,297020,0,0,,50,199.54965633558186,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:53,248.7015,630.341,802.13,29.071040153503418,6.821311950683594,873.9609375,189543,0,0,,50,201.04422369788682,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:53,327.7003,982.434,1418.862,39.03012275695801,7.350128173828125,873.9609375,253911,0,0,,50,152.5784382864465,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:54,214.7673,674.941,744.756,15.981195971369743,7.764984130859375,873.9609375,189537,0,0,,50,232.81011587890708,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:54,199.7884,609.723,618.771,27.537778854370117,8.164108276367188,873.9609375,177265,0,0,,50,250.26478013738534,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:54,293.507,894.45,974.97,47.53955078125,8.571060180664062,873.8671875,241137,0,0,,50,170.35368832770598,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:55,195.8494,514.05,531.905,36.77090835571289,8.969833374023438,873.8671875,149134,0,0,,50,255.29820361972003,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:55,244.7377,719.033,1059.615,40.7465877532959,9.384620666503906,873.8671875,214649,0,0,,50,204.30035911917125,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:55,190.4098,631.226,715.996,0,9.783866882324219,874.625,177454,0,0,,50,262.5915262764837,0,,,False,
ETL,T5_BurstSelect,Small,10,03/11/2026 23:30:55,243.2017,790.594,1008.057,38.66847038269043,10.19891357421875,874.625,233118,0,0,,50,205.59066815733607,0,,,False,
ETL,T5_BurstSelect,Small,0,03/11/2026 23:30:56,221.0224,2383.27,3229.684,27.5373272895813,11.216896057128906,874.625,396896,0,0,,100,452.4428293240866,0,,,True,
ETL,T5_BurstSelect,Small,1,03/11/2026 23:30:56,295.5182,1940.48,3619.697,31.689523696899414,12.260658264160156,874.625,435664,0,0,,100,338.38863393185255,0,,,False,
ETL,T5_BurstSelect,Small,2,03/11/2026 23:30:56,252.9786,1644.372,1941.737,45.0734920501709,13.262870788574219,877.9140625,329145,0,0,,100,395.29035262271196,0,,,False,
ETL,T5_BurstSelect,Small,3,03/11/2026 23:30:57,297.633,1916.109,2423.84,33.774413108825684,14.275650024414062,877.9140625,462351,0,0,,100,335.98424905840415,0,,,False,
ETL,T5_BurstSelect,Small,4,03/11/2026 23:30:57,331.166,2086.872,3127.755,57.38269233703613,15.265045166015625,877.9140625,482517,0,0,,100,301.9633658044606,0,,,False,
ETL,T5_BurstSelect,Small,5,03/11/2026 23:30:57,293.8468,1644.094,1998.964,22.62207794189453,16.169692993164062,878.25,411681,0,0,,100,340.3133877925504,0,,,False,
ETL,T5_BurstSelect,Small,6,03/11/2026 23:30:58,305.039,1660.762,2730.899,40.97289848327637,17.073074340820312,878.25,437022,0,0,,100,327.82693360521114,0,,,False,
ETL,T5_BurstSelect,Small,7,03/11/2026 23:30:58,302.1365,1251.702,1632.26,50.88266944885254,18.005836486816406,882.6796875,349902,0,0,,100,330.9762309419749,0,,,False,
ETL,T5_BurstSelect,Small,8,03/11/2026 23:30:58,320.164,1689.196,2215.13,11.15812635421753,18.90259552001953,882.6796875,418535,0,0,,100,312.3399257880336,0,,,False,
ETL,T5_BurstSelect,Small,9,03/11/2026 23:30:59,352.3244,1594.635,4936.648,39.146005630493164,19.85076904296875,882.6796875,430630,0,0,,100,283.82933455644854,0,,,False,
