Architecture,Scenario,Scale,SampleCount,MedianEndToEndMs,P25EndToEndMs,P75EndToEndMs,IQR,MedianServerCpuMs,MedianServerElapsedMs,MedianCpuPercent,MedianMemoryMb,MedianMemSqlServerMb,MedianLogicalReads,MedianPhysicalReads,ConcurrentWorkers,MedianThroughputRps,MedianErrorCount,MedianIngestionRowsPerSecond
ETL,T1_GetSNList,Small,10,7.14315,6.0976,7.816175,1.7185750000000004,7.2755,8.516,12.986148357391357,6.083019256591797,830.171875,8,0,,,,
ETL,T2_GetMesuresByPN,Small,10,29.26475,27.531575,43.0761,15.544524999999997,6.4475,6.449999999999999,9.540476322174072,6.926067352294922,830.171875,7,0,,,,
ETL,T3_GetMesuresHistorique,Small,10,88.71985000000001,81.173375,97.696,16.522625000000005,7.807,7.811,4.8802087008953094,7.352897644042969,828.515625,7,0,,,,
ETL,T4_InsertMesure,Small,10,6.24695,5.894875000000001,9.1489,3.2540249999999986,5.9475,6.0815,7.417352676391602,7.792606353759766,828.65625,14,1,,,,
ETL,T5_BurstSelect,Small,70,195.4447,122.63,297.10429999999997,174.47429999999997,676.2455,756.1914999999999,27.691025495529175,13.733074188232422,870.9296875,186583,0,10,202.67229140852902,0,
ETL,T6_ETLBatchIngestion,Small,10,686.4811500000001,684.034175,695.7816250000001,11.747450000000072,33.9895,495.6205,11.002119600772858,17.62738800048828,922.0546875,158,0,,,,29135.31703515592
ETL,T7_BurstInsert,Small,70,28.29935,13.870975000000001,46.225875,32.3549,23.986,51.170500000000004,13.2337965965271,19.11292266845703,918.59375,350,1,10,1646.805835196857,0,
FederatedLinkedServer,T1_GetSNList,Small,10,7.3461,7.12735,7.427725,0.30037499999999984,7.957000000000001,8.557500000000001,8.229472637176514,25.447673797607422,917.53125,9,0,,,,
FederatedLinkedServer,T2_GetMesuresByPN,Small,10,768.11175,757.854525,780.63895,22.784425000000056,80.3,85.382,10.507411241531372,26.420513153076172,918.625,13203.5,62,,,,
FederatedLinkedServer,T3_GetMesuresHistorique,Small,10,805.1668999999999,768.134475,856.5756,88.44112500000006,54.605000000000004,61.458,9.20783045887947,5.867069244384766,918.6796875,2917,64,,,,
FederatedLinkedServer,T4_InsertMesure,Small,10,5.4830000000000005,4.4357750000000005,6.4085,1.9727249999999996,4.843999999999999,5.024,19.408041954040527,6.1562042236328125,918.6796875,16,1,,,,
FederatedLinkedServer,T5_BurstSelect,Small,70,1521.9567499999998,1047.1085,2189.8741250000003,1142.7656250000002,3988.1885,7772.606,24.769405917574964,14.982532501220703,1038.41015625,656288,62,10,30.704207767621025,0,
FederatedLinkedServer,T7_BurstInsert,Small,70,38.07065,21.769325000000002,57.841725,36.072399999999995,25.7295,52.709,12.581810474395752,20.029373168945312,1181.6796875,450,1,10,1171.5042563570278,0,
FederatedInMemory,T1_GetSNList,Small,10,6.38355,6.1133,7.646325,1.5330250000000003,6.4559999999999995,7.1205,17.922975540161133,24.657882690429688,1181.4453125,9,0,,,,
FederatedInMemory,T2_GetMesuresByPN,Small,10,22.3284,19.572,26.960225,7.388225000000002,8.734,15.535,14.931130409240723,26.9052734375,1181.4375,68,6,,,,
FederatedInMemory,T3_GetMesuresHistorique,Small,10,30.8134,30.42245,31.286,0.86355,10.559000000000001,23.4555,7.592149972915649,14.34878158569336,1181.4375,84,6,,,,
FederatedInMemory,T4_InsertMesure,Small,10,8.4703,8.26785,9.109974999999999,0.8421249999999993,5.417999999999999,5.421,7.7047553062438965,16.592853546142578,1181.4375,9,0,,,,
FederatedInMemory,T5_BurstSelect,Small,70,72.86325,37.381075,122.696475,85.31540000000001,89.41550000000001,111.5985,18.698655128479004,20.336322784423828,1181.4375,3697.5,6,10,583.7251594049067,0,
FederatedInMemory,T7_BurstInsert,Small,70,35.6382,17.243949999999998,60.780325,43.536375,23.299,75.188,13.487712860107422,16.266921997070312,1181.5703125,450,0,10,1079.3331904832285,0,
