Architecture,Scenario,Scale,SampleCount,MedianEndToEndMs,P25EndToEndMs,P75EndToEndMs,IQR,MedianServerCpuMs,MedianServerElapsedMs,MedianCpuPercent,MedianMemoryMb,MedianMemSqlServerMb,MedianLogicalReads,MedianPhysicalReads,ConcurrentWorkers,MedianThroughputRps,MedianErrorCount,MedianIngestionRowsPerSecond
ETL,T1_GetSNList,Medium,10,28.559350000000002,25.075575,33.911925,8.836349999999996,15.959,29.442999999999998,11.196478366851807,10.96341323852539,1228.28125,57,0,,,,
ETL,T2_GetMesuresByPN,Medium,10,32.146100000000004,25.020925,42.034475,17.013550000000002,9.8575,9.8595,8.289921283721924,15.200775146484375,1228.28125,1428.5,0,,,,
ETL,T3_GetMesuresHistorique,Medium,10,97.0625,66.46665,104.57245,38.1058,11.5125,14.312,10.097065925598145,15.654678344726562,1228.8203125,80.5,1,,,,
ETL,T4_InsertMesure,Medium,10,12.08235,9.694849999999999,13.4421,3.747250000000001,8.879000000000001,12.2135,9.867465496063232,16.100746154785156,1228.8203125,17.5,1,,,,
ETL,T5_BurstSelect,Medium,70,121.1191,79.4984,164.103475,84.605075,115.5145,141.35399999999998,25.61518669128418,15.617053985595703,1228.8203125,29944.5,0,10,359.61298543272187,0,
ETL,T6_ETLBatchIngestion,Medium,10,9191.16285,9024.41935,9289.82495,265.40560000000005,306.76,8992.658,11.563504296224474,15.334423065185547,1350.2890625,1486,0,,,,27200.144800627644
ETL,T7_BurstInsert,Medium,70,30.9585,18.736225,59.333725,40.5975,24.042,84.4125,8.670696258544922,14.240074157714844,1406.40625,509.5,2,10,1201.039056208343,0,
FederatedLinkedServer,T1_GetSNList,Medium,10,12.68845,12.2151,14.6575,2.442400000000001,8.686499999999999,12.9515,12.55896282196045,20.21562957763672,1405.8671875,58,0,,,,
FederatedLinkedServer,T2_GetMesuresByPN,Medium,10,1077.4796999999999,1042.5504250000001,1120.58735,78.03692499999988,326.868,342.4735,12.209611972173056,7.540107727050781,1405.9375,103195,59,,,,
FederatedLinkedServer,T3_GetMesuresHistorique,Medium,10,903.4485999999999,855.583875,970.7548499999999,115.17097499999988,64.19749999999999,85.6025,9.77270073890686,8.465858459472656,1405.0625,2822,60,,,,
FederatedLinkedServer,T4_InsertMesure,Medium,10,7.67135,7.2447,8.0799,0.8352000000000004,5.273,6.4035,7.319991111755371,9.09982681274414,1405.0625,21,1,,,,
FederatedLinkedServer,T5_BurstSelect,Medium,70,3312.3163,1794.624875,5537.34255,3742.7176750000003,33244,67070.782,32.29688640057095,15.133724212646484,1411.26171875,5185055,59,10,13.69392835979071,0,
FederatedLinkedServer,T7_BurstInsert,Medium,70,37.7264,17.517425,54.3265,36.80907500000001,25.1235,52.760000000000005,15.4513578414917,16.208850860595703,1450.65625,649.5,1,10,1198.6478315046647,0,
FederatedInMemory,T1_GetSNList,Medium,10,15.60465,14.963075,16.859125,1.896049999999999,15.447,16.265,9.629364013671875,24.026077270507812,1449.0546875,58,0,,,,
FederatedInMemory,T2_GetMesuresByPN,Medium,10,33.487049999999996,32.370525,36.539225,4.168700000000001,18.0265,24.5075,8.728896856307983,15.030452728271484,1449.0546875,249,4,,,,
FederatedInMemory,T3_GetMesuresHistorique,Medium,10,66.98214999999999,58.42835,74.108525,15.680174999999998,58.474000000000004,70.38300000000001,6.459407091140747,16.646575927734375,1449.0546875,422,4,,,,
FederatedInMemory,T4_InsertMesure,Medium,10,9.902650000000001,9.781525,10.21115,0.4296249999999997,7.0634999999999994,7.067,10.041106224060059,11.230403900146484,1449.0546875,13,0,,,,
FederatedInMemory,T5_BurstSelect,Medium,70,178.43824999999998,66.34535,349.385175,283.039825,393.64750000000004,1654.2695,16.143195629119873,41.18921661376953,1449.0546875,11558.5,4,10,240.24206545569325,0,
FederatedInMemory,T7_BurstInsert,Medium,70,32.1475,21.501199999999997,54.2647,32.7635,25.6355,74.38900000000001,15.483901977539062,59.0566520690918,1449.0546875,649.5,0,10,1260.8141247432197,0,
